id	numFeatures	pval	abs.log2FC	log2FC	fdr	SDcorr	fc.pval	fc.fdr	nonde.fcwidth	fcCI.90.start	fcCI.90.end	fcCI.95.start	fcCI.95.end	fcCI.99.start	fcCI.99.end
mass_8703_639726856763	1	0.028	0.610	-0.610	1.000	1.17	0.026	0.971	1.040	-1.025	-0.155	-1.125	-0.065	-1.305	0.115
mass_28999_972312854614	1	0.490	0.170	-0.170	1.000	1.04	0.437	0.971	0.530	-0.515	0.205	-0.595	0.285	-0.745	0.435
mass_19465_268671071997	1	0.105	0.410	-0.410	1.000	1.10	0.085	0.971	0.790	-0.775	-0.005	-0.855	0.065	-1.015	0.235
mass_25393_143933009655	1	0.205	0.260	0.260	1.000	1.03	0.210	0.971	0.620	-0.075	0.625	-0.155	0.705	-0.295	0.845
mass_25002_278430758673	1	0.783	0.080	-0.080	1.000	1.07	0.720	0.971	0.470	-0.435	0.305	-0.515	0.385	-0.665	0.535
mass_26420_863651283467	1	0.995	0.020	-0.020	1.000	1.03	0.925	0.971	0.450	-0.375	0.365	-0.445	0.435	-0.605	0.595
mass_15120_474149911479	1	0.064	0.450	0.450	1.000	1.14	0.072	0.971	0.850	0.055	0.855	-0.035	0.945	-0.205	1.115
mass_16852_95907880772	1	0.757	0.040	0.040	1.000	1.00	0.815	0.971	0.450	-0.305	0.415	-0.385	0.495	-0.535	0.645
mass_24389_570346149027	1	0.259	0.240	0.240	1.000	1.05	0.274	0.971	0.620	-0.125	0.635	-0.205	0.715	-0.355	0.865
mass_13298_950361429108	1	0.284	0.290	-0.290	1.000	1.18	0.242	0.971	0.720	-0.705	0.135	-0.795	0.225	-0.975	0.405
mass_10236_919071594202	1	0.588	0.170	-0.170	1.000	1.25	0.526	0.971	0.630	-0.605	0.295	-0.705	0.395	-0.895	0.585
mass_17971_226789880988	1	0.663	0.110	-0.110	1.000	1.06	0.623	0.971	0.500	-0.475	0.285	-0.555	0.365	-0.715	0.525
mass_6643_672890669162	1	0.914	0.010	-0.010	1.000	1.14	0.887	0.971	0.150	-0.115	0.125	-0.145	0.155	-0.205	0.215
mass_3178_703032876682	1	0.993	0.000e+00	0.000e+00	1.000	1.41	0.955	0.971	0.350	-0.275	0.285	-0.345	0.355	-0.515	0.525
mass_12722_461473939244	1	0.283	0.220	0.220	1.000	1.08	0.319	0.971	0.610	-0.145	0.615	-0.225	0.695	-0.385	0.855
mass_16692_990958195347	1	0.299	0.300	-0.300	1.000	1.18	0.253	0.971	0.730	-0.715	0.145	-0.805	0.235	-0.985	0.425
mass_21247_554996007937	1	0.918	0.000e+00	0.000e+00	1.000	1.08	0.964	0.971	0.460	-0.365	0.395	-0.445	0.475	-0.595	0.625
mass_13925_240644958672	1	0.325	0.160	-0.160	1.000	1.00	0.256	0.971	0.430	-0.415	0.105	-0.485	0.175	-0.635	0.325
mass_6815_714076988126	1	0.539	0.150	0.150	1.000	1.19	0.462	0.971	0.520	-0.205	0.515	-0.295	0.605	-0.475	0.775
