protein_id	gene_symbol	mol_weight_kd	mol_weight
A0A0M3U1B0		96.054	96054
A0A140LHF2		83.269	83269
A0JNU3	Aspg	60.594	60594
A1L314	Mpeg1	78.39	78390
A1Z198	Nlrp1b	134.16	134160
A2A432	Cul4b	110.7	110700
A2A5R2	Arfgef2	202.24	202240
A2A8L5	Ptprf	211.49	211490
A2A8Z1	Osbpl9	83.108	83108
A2A935	Prdm16	140.86	140860
A2AAE1	Kiaa1109	555.36	555360
A2AAJ9	Obscn	966.58	966580
A2AAY5;O89032	Sh3pxd2b;Sh3pxd2a	101.52	101520
A2AB59	Arhgap27	97.047	97047
A2ADF7	Slc25a34	33.778	33778
A2ADY9;Q9DAF3	Ddi2	44.59	44590
A2AFR3	Frmpd4	144.98	144980
A2AG50	Map7d2	86.049	86049
A2AGT5	Ckap5	225.63	225630
A2AIG8	Accs	56.878	56878
A2AIL4	Ndufaf6	38.362	38362
A2AJL3	Fggy	60.336	60336
A2AKB4	Frmpd1	169.21	169210
A2AKK5	Acnat1	46.07	46070
A2AKX3	Setx	297.59	297590
A2AL36	Cntrl	268.88	268880
A2ALS5	Rap1gap	73.432	73432
A2ALU4	Shroom2	164.7	164700
A2ALW5	Dnajc25	41.937	41937
A2AMM0	Murc	41.008	41008
A2AN08	Ubr4	572.28	572280
A2APT9	Klhdc7a	83.589	83589
A2AQP0	Myh7b	221.49	221490
A2AQW0	Map3k15	149.33	149330
A2AR02	Ppig	88.324	88324
A2AS89	Agmat	38.255	38255
A2ASS6	Ttn	3906.4	3906400
A2ASZ8	Slc25a25	52.62	52620
A2AT37	Upf2	147.55	147550
A2ATU0	Dhtkd1	102.79	102790
A2AUM9	Cep152	196.53	196530
A2AVR2	Mroh7	141.71	141710
A2AVZ9	Slc43a3	56.033	56033
A2AWA9	Rabgap1	120.8	120800
A2BDX3	Mocs3	49.374	49374
A2BFL2	Zyg11a	70.403	70403
A2BIM8;P02762;P04938;P11591	Mup9;Mup6;Mup8	20.762	20762
A2RSQ0	Dennd5b	144.63	144630
A2RSY6	Trmt1l	80.86	80860
A2RT91	Ankar	165.29	165290
A2RTL5	Rsrc2	43.876	43876
A3KFM7	Chd6	305.39	305390
A3KGB4	Tbc1d8b	127.89	127890
A3KGS3	Ralgapa2	210.29	210290
A3KMP2	Ttc38	52.223	52223
A4Q9E8	Ttll6	94.506	94506
A4Q9F0	Ttll7	105.5	105500
A4Q9F6	Ttll13	93.462	93462
A6H584	Col6a5	289.57	289570
A6H611	Mipep	80.851	80851
A6H630	Armt1	50.548	50548
A6H690	Iqca1l	95.955	95955
A6H6A9	Rabgap1l	92.403	92403
A6H8H2	Dennd4c	211.46	211460
A6X919	Dpy19l1	84.186	84186
A6X935;CON__Q3T052	Itih4	104.66	104660
A7MCT6	Etnk2	44.567	44567
B1AR13	Cisd3	15.676	15676
B1ARD8;B1ARD6	Slfn8	104.26	104260
B1AUH1	Ptpru	162.49	162490
