protein_id	gene_symbol	mol_weight_kd	mol_weight
CCL21C	Ccl21c	14.583901099999977	14583.901099999977	normal
MT-ND1	mt-Nd1	34.19437530000002	34194.37530000002	normal
CCL27A	Ccl27a	13.463663299999988	13463.663299999987	normal
VMN2R122	Vmn2r122	92.57191930000052	92571.91930000052	normal
VMN2R122	Vmn2r122	84.40407490000048	84404.07490000049	normal
VMN2R122	Vmn2r122	88.59607590000049	88596.07590000049	normal
VMN2R122	Vmn2r122	33.31773360000001	33317.733600000014	normal
VMN2R122	Vmn2r122	36.24118530000003	36241.185300000034	normal
MT-ND2	mt-Nd2	36.61300760000002	36613.00760000002	normal
IL11RA2	Il11ra2	46.7305238000001	46730.5238000001	normal
AC123873.3	AC123873.3	41.70866600000006	41708.666000000056	normal
MT-CO1	mt-Co1	53.274864600000086	53274.86460000009	normal
AC140325.2	AC140325.2	46.75644770000009	46756.447700000084	normal
MT-CO2	mt-Co2	24.81058900000001	24810.58900000001	normal
MT-ATP8	mt-Atp8	7.1714792	7171.479200000001	normal
MT-ATP6	mt-Atp6	24.338226900000024	24338.226900000023	normal
AC125149.3	AC125149.3	13.10407929999999	13104.07929999999	normal
MT-ND3	mt-Nd3	12.365665699999983	12365.665699999983	normal
MT-ND4L	mt-Nd4l	10.480319099999988	10480.319099999988	normal
VAMP7	Vamp7	24.96682270000003	24966.82270000003	normal
IL11RA2	Il11ra2	46.7305238000001	46730.5238000001	normal
MT-ND5	mt-Nd5	65.94455460000022	65944.55460000022	normal
MT-ND6	mt-Nd6	17.995255499999992	17995.255499999992	normal
CAAA01118383.1	CAAA01118383.1	35.95984260000003	35959.84260000003	normal
CCL27A	Ccl27a	13.463663299999988	13463.663299999987	normal
CCL27A	Ccl27a	15.774121999999986	15774.121999999987	normal
AC132444.1	AC132444.1	15.530577299999983	15530.577299999983	normal
AC087559.3	AC087559.3	52.35190830000017	52351.90830000017	normal
AC132444.3	AC132444.3	13.925334199999982	13925.334199999983	normal
AC133103.4	AC133103.4	13.925334199999982	13925.334199999983	normal
AC164084.2	AC164084.2	55.08669660000006	55086.69660000006	normal
AC132444.4	AC132444.4	13.16410959999999	13164.10959999999	normal
AC149090.1	AC149090.1	17.284059699999993	17284.059699999994	normal
AC149090.1	AC149090.1	17.284059699999993	17284.059699999994	normal
AC133103.6	AC133103.6	13.16410959999999	13164.10959999999	normal
AC132444.2	AC132444.2	13.16410959999999	13164.10959999999	normal
CCL21B	Ccl21b	14.583901099999977	14583.901099999977	normal
AC133103.7	AC133103.7	13.220215799999991	13220.21579999999	normal
GM3286	Gm3286	55.40307150000007	55403.071500000064	normal
GM3286	Gm3286	31.98508520000001	31985.085200000012	normal
